MonitoringStation,Group,MonitoringLocation,Parameter,Unit,UnitId,Date,Value,SourceColumn,DatasetName,DatasetID,Sheet,SensorID,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,Coords,Description
48,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-22,25.06560053479448,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_2C27,25.06560053479448,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,48,"{""type"":""Point"",""coordinates"":[29.4180538,-25.1684023]}",
49,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,34.07398927743001,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_2C27,34.07398927743001,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,49,"{""type"":""Point"",""coordinates"":[29.4180538,-25.1684023]}",
50,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,14.86269464095571,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_2C27,14.86269464095571,920.8000000000001,-25.1684023,Sensor 15_2c27,29.4180538,Butternut_plot15,4.133,Sensor 15,,50,"{""type"":""Point"",""coordinates"":[29.4180538,-25.1684023]}",
51,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,14.00144149396363,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_BEDA,14.00144149396363,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,51,"{""type"":""Point"",""coordinates"":[29.4177817,-25.1680488]}",
52,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-11-29,13.80648501709621,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_BEDA,13.80648501709621,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,52,"{""type"":""Point"",""coordinates"":[29.4177817,-25.1680488]}",
53,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-27,19.72030539901379,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_BEDA,19.72030539901379,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,53,"{""type"":""Point"",""coordinates"":[29.4177817,-25.1680488]}",
54,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-24,32.91031120324577,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_BEDA,32.91031120324577,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,54,"{""type"":""Point"",""coordinates"":[29.4177817,-25.1680488]}",
55,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-21,31.98095446596793,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_BEDA,31.98095446596793,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,55,"{""type"":""Point"",""coordinates"":[29.4177817,-25.1680488]}",
56,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-10-17,8.817382811521815,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_BEDA,8.817382811521815,915.1,-25.1680488,Sensor 10_beda,29.4177817,Butternut_plot15,3.725,Sensor 10 butternut field ,,56,"{""type"":""Point"",""coordinates"":[29.4177817,-25.1680488]}",
57,South Africa,Irrigation scheme - Herefored,Soil moisture,%,26,2025-12-02,15.40883984052931,SoilMoisture_pct,Soil moisture,5fa7b6aa-d339-44e7-b0e3-5eedcc2eea47,Plot 15 sensors,_D86B,15.40883984052931,929.0,-25.1682852,Sensor 4_ d86b,29.4174856,Butternut_plot15,3.8,Sensor 4 d86b,,57,"{""type"":""Point"",""coordinates"":[29.4174856,-25.1682852]}",
