Sheet,SensorID,Date,SoilMoisture_pct,Evelation,latitude,Location,longitude,PlotType,Precision_m,descrip,plot,_generic_id,geometry,WKT
Plot 15 sensors,_5DA2,25-10-24,15.67617510063754,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,98,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5DA2,25-10-22,17.64230904170957,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,99,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5DA2,25-10-21,17.38165055301096,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,100,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5DA2,25-10-18,11.69989132342596,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,101,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5DA2,25-10-17,8.211656766407264,919.7,-25.1681884,Sensor 19_5da2,29.4182051,Butternut_plot15,4.0,Sensor 19 butternut field ,,102,POINT (29.4182051 -25.1681884),POINT (29.418205 -25.168188)
Plot 15 sensors,_5051,25-12-02,15.56127950751255,916.6,-25.1683939,Sensor 6_5051 ,29.4177766,Butternut_plot15,3.85,Sensor 6 butternut field ,,103,POINT (29.4177766 -25.1683939),POINT (29.417777 -25.168394)
Plot 15 sensors,_5051,25-10-27,15.74837264055251,916.6,-25.1683939,Sensor 6_5051 ,29.4177766,Butternut_plot15,3.85,Sensor 6 butternut field ,,104,POINT (29.4177766 -25.1683939),POINT (29.417777 -25.168394)
Plot 15 sensors,_5051,25-10-24,17.17602753135179,916.6,-25.1683939,Sensor 6_5051 ,29.4177766,Butternut_plot15,3.85,Sensor 6 butternut field ,,105,POINT (29.4177766 -25.1683939),POINT (29.417777 -25.168394)
Plot 15 sensors,_5051,25-10-22,19.86211593094074,916.6,-25.1683939,Sensor 6_5051 ,29.4177766,Butternut_plot15,3.85,Sensor 6 butternut field ,,106,POINT (29.4177766 -25.1683939),POINT (29.417777 -25.168394)
Plot 15 sensors,_5051,25-10-21,19.55470500076627,916.6,-25.1683939,Sensor 6_5051 ,29.4177766,Butternut_plot15,3.85,Sensor 6 butternut field ,,107,POINT (29.4177766 -25.1683939),POINT (29.417777 -25.168394)
Plot 15 sensors,_5051,25-10-17,10.27451318135045,916.6,-25.1683939,Sensor 6_5051 ,29.4177766,Butternut_plot15,3.85,Sensor 6 butternut field ,,108,POINT (29.4177766 -25.1683939),POINT (29.417777 -25.168394)
Maize Plot 15,_D4BC,25-10-27,10.97329114915691,930.7000122070312,-25.1668583,Sensor D4bc,29.4162917,Maize_plot15,4.9,,Maize plot 15,109,POINT (29.4162917 -25.1668583),POINT (29.416292 -25.166858)
Maize Plot 15,_D4BC,25-10-24,15.94625445076605,930.7000122070312,-25.1668583,Sensor D4bc,29.4162917,Maize_plot15,4.9,,Maize plot 15,110,POINT (29.4162917 -25.1668583),POINT (29.416292 -25.166858)
Maize Plot 15,_D4BC,25-10-21,16.18686812357735,930.7000122070312,-25.1668583,Sensor D4bc,29.4162917,Maize_plot15,4.9,,Maize plot 15,111,POINT (29.4162917 -25.1668583),POINT (29.416292 -25.166858)
Maize Plot 15,_D4BC,25-10-17,13.74469026564439,930.7000122070312,-25.1668583,Sensor D4bc,29.4162917,Maize_plot15,4.9,,Maize plot 15,112,POINT (29.4162917 -25.1668583),POINT (29.416292 -25.166858)
Maize Plot 15,_855B,25-10-27,9.301063965008666,912.0,-25.16711,Sensor 855b,29.4168617,Maize_plot15,4.65,,Maize plot 15,113,POINT (29.4168617 -25.16711),POINT (29.416862 -25.16711)
Maize Plot 15,_855B,25-10-24,15.97545926692575,912.0,-25.16711,Sensor 855b,29.4168617,Maize_plot15,4.65,,Maize plot 15,114,POINT (29.4168617 -25.16711),POINT (29.416862 -25.16711)
Maize Plot 15,_855B,25-10-22,16.58025767961893,912.0,-25.16711,Sensor 855b,29.4168617,Maize_plot15,4.65,,Maize plot 15,115,POINT (29.4168617 -25.16711),POINT (29.416862 -25.16711)
